id,created,updated,id_match,id_player
1,2023-05-14,2023-05-14,4,41
2,2023-05-14,2023-05-14,5,9
3,2023-05-14,2023-05-14,6,41
4,2023-05-14,2023-05-14,9,11
5,2023-05-14,2023-05-14,10,22
6,2023-05-14,2023-05-14,12,28
7,2023-05-14,2023-05-14,14,11
8,2023-05-14,2023-05-14,20,9
9,2023-05-14,2023-05-14,22,20
10,2023-05-14,2023-05-14,24,20
11,2023-05-14,2023-05-14,24,22
12,2023-05-14,2023-05-14,24,22
13,2023-05-14,2023-05-14,24,8
15,2023-05-14,2023-05-14,27,24
16,2023-05-14,2023-05-14,28,4
17,2023-05-14,2023-05-14,30,24
18,2023-05-14,2023-05-14,31,3
19,2023-05-14,2023-05-14,31,5
20,2023-05-14,2023-05-14,31,28
21,2023-05-14,2023-05-14,31,20
22,2023-05-14,2023-05-14,32,9
23,2023-05-14,2023-05-14,33,28
24,2023-05-14,2023-05-14,37,20
25,2023-05-14,2023-05-14,37,18
26,2023-05-14,2023-05-14,37,11
27,2023-05-14,2023-05-14,38,18
