id,game_date,opponent,place,result,score_whu,score_opponent,created,updated
1,2022-08-07,Manchester City FC,home,loss,0,2,2023-05-14,2023-05-14
2,2022-08-14,Nottingham Forrest FC,away,loss,0,1,2023-05-14,2023-05-14
3,2022-08-21,Brighton & Hove Albion FC,home,loss,0,2,2023-05-14,2023-05-14
4,2022-08-28,Aston Villa FC,away,win,1,0,2023-05-14,2023-05-14
5,2022-08-31,Tottenham Hotspur FC,home,draw,1,1,2023-05-14,2023-05-14
6,2022-09-03,Chelsea FC,away,loss,1,2,2023-05-14,2023-05-14
7,2022-09-18,Everton FC,away,loss,0,1,2023-05-14,2023-05-14
8,2022-10-01,Wolverhampton Wanderers FC,home,win,2,0,2023-05-14,2023-05-14
9,2022-09-10,Fulham FC,home,win,2,0,2023-05-14,2023-05-14
10,2022-10-16,Southampton FC,away,draw,1,1,2023-05-14,2023-05-14
11,2022-10-19,Liverpool FC,away,loss,0,1,2023-05-14,2023-05-14
12,2022-10-24,AFC Bournemouth,home,win,2,0,2023-05-14,2023-05-14
13,2022-10-30,Manchester United FC,away,loss,0,1,2023-05-14,2023-05-14
14,2022-11-06,Crystal Palace FC,home,loss,1,2,2023-05-14,2023-05-14
15,2022-11-12,Leicester City FC,home,loss,0,2,2023-05-14,2023-05-14
16,2022-12-26,Arsenal FC,away,loss,1,3,2023-05-14,2023-05-14
17,2022-12-30,Brentford FC,home,loss,0,2,2023-05-14,2023-05-14
18,2023-01-04,Leeds United,away,draw,2,2,2023-05-14,2023-05-14
19,2023-01-14,Wolverhampton Wanderers FC,away,loss,0,1,2023-05-14,2023-05-14
20,2023-01-21,Everton FC,home,win,2,0,2023-05-14,2023-05-14
21,2023-02-04,Newcastle United FC,away,draw,1,1,2023-05-14,2023-05-14
22,2023-02-11,Chelsea FC,home,draw,1,1,2023-05-14,2023-05-14
23,2023-02-19,Tottenham Hotspur FC,away,loss,0,2,2023-05-14,2023-05-14
24,2023-02-25,Nottingham Forrest FC,home,win,4,0,2023-05-14,2023-05-14
25,2023-03-04,Brighton & Hove Albion FC,away,loss,0,4,2023-05-14,2023-05-14
26,2023-03-12,Aston Villa FC,home,draw,1,1,2023-05-14,2023-05-14
27,2023-04-02,Southampton FC,home,win,1,0,2023-05-14,2023-05-14
28,2023-04-05,Newcastle United FC,home,loss,1,5,2023-05-14,2023-05-14
29,2023-04-08,Fulham FC,away,win,1,0,2023-05-14,2023-05-14
30,2023-04-16,Arsenal FC,home,draw,2,2,2023-05-14,2023-05-14
31,2023-04-23,AFC Bournemouth,away,win,4,0,2023-05-14,2023-05-14
32,2023-04-26,Liverpool FC,home,loss,1,2,2023-05-14,2023-05-14
33,2023-04-29,Crystal Palace FC,away,loss,3,4,2023-05-14,2023-05-14
34,2023-05-03,Manchester City FC,away,loss,0,3,2023-05-14,2023-05-14
35,2023-05-07,Manchester United FC,home,win,1,0,2023-05-14,2023-05-14
36,2023-05-14,Brentford FC,away,loss,0,2,2023-05-14,2023-05-14
37,2023-05-21,Leeds United,home,win,3,1,2023-06-01,2023-06-01
38,2023-05-28,Leicester City FC,away,loss,1,2,2023-06-01,2023-06-01
