id,number,first_name,last_name,born,country,position,created,updated
1,1,Łukasz,Fábiański,1985-04-18,Poland,Goalkeeper,2023-05-01,
2,13,Alphonse,Aréola,1993-02-27,France,Goalkeeper,2023-05-01,
3,49,Joseph,Anang,2000-06-08,England,Goalkeeper,2023-05-01,
4,2,Ben,Johnson,2000-01-24,England,Defender,2023-05-01,
5,3,Aaron,Cresswell,1989-12-15,England,Defender,2023-05-01,
6,4,Kurt,Zouma,1994-10-27,France,Defender,2023-05-01,
7,5,Vladimír,Coufal,1992-08-22,Czech Republic,Defender,2023-05-01,
8,21,Angelo,Ogbonna,1988-05-23,Italy,Defender,2023-05-01,
9,24,Thilo,Kehrer,1996-09-21,Germany,Defender,2023-05-01,
10,27,Nayef,Aguerd,1996-03-30,Morocco,Defender,2023-05-01,
11,33,Emerson,Palmieri,1994-08-03,Italy,Defender,2023-05-01,
12,8,Pablo,Fornals,1996-02-22,Spain,Midfielder,2023-05-01,
13,10,Manuel,Lanzini,1993-02-15,Argentina,Midfielder,2023-05-01,
14,11,Lucas,Paquetá,1997-08-27,Brazil,Midfielder,2023-05-01,
15,12,Flynn,Downes,1999-01-20,England,Midfielder,2023-05-01,
16,14,Maxwel,Cornet,1996-06-27,Ivory Coast,Midfielder,2023-05-01,
17,28,Tomáš,Souček,1995-02-27,Czech Republic,Midfielder,2023-05-01,
18,32,Conor,Coventry,2000-03-25,Ireland,Midfielder,2023-05-01,
19,41,Declan,Rice,1999-01-14,England,Midfielder,2023-05-01,
20,7,Gianluca,Scamacca,1999-01-01,Italy,Forward,2023-05-01,
21,9,Michail,Antonio,1990-03-28,Jamaica,Forward,2023-05-01,
22,18,Danny,Ings,1992-07-23,England,Forward,2023-05-01,
23,20,Jarrod,Bowen,1996-12-20,England,Forward,2023-05-01,
24,22,Said,Benrahma,1995-08-10,Algeria,Forward,2023-05-01,
