id_country,country
1,Afghanistan
2,Albania
3,Algeria
4,Andorra
5,Angola
6,Antigua and Barbuda
7,Azerbaijan
8,Argentina
9,Australia
10,Austria
11,Bahamas
12,Bahrain
13,Bangladesh
14,Armenia
15,Barbados
16,Belgium
17,Bhutan
18,Bolivia
19,Bosnia and Herzegovina
20,Botswana
21,Brazil
22,Belize
23,Solomon Islands
24,Brunei
25,Bulgaria
26,Myanmar
27,Burundi
28,Belarus
29,Cambodia
30,Cameroon
31,Canada
32,Cabo Verde
33,Central African Republic
34,Sri Lanka
35,Chad
36,Chile
37,China
38,Colombia
39,Comoros
40,Congo
41,Costa Rica
42,Croatia
43,Cuba
44,Cyprus
45,Czech Republic
46,Benin
47,Denmark
48,Dominica
49,Dominican Republic
50,Ecuador
51,El Salvador
52,Equatorial Guinea
53,Ethiopia
54,Eritrea
55,Estonia
56,Fiji
57,Finland
58,France
59,Djibouti
60,Gabon
61,Georgia
62,Gambia
63,Germany
64,Ghana
65,Kiribati
66,Greece
67,Grenada
68,Guatemala
69,Guinea
70,Guyana
71,Haiti
72,Honduras
73,Hungary
74,Iceland
75,India
76,Indonesia
77,Iran
78,Iraq
79,Ireland
80,Israel
81,Italy
82,Ivory Coast
83,Jamaica
84,Japan
85,Kazakhstan
86,Jordan
87,Kenya
88,North Korea
89,South Korea
90,Kuwait
91,Kyrgyzstan
92,Laos
93,Lebanon
94,Lesotho
95,Latvia
96,Liberia
97,Libya
98,Liechtenstein
99,Lithuania
100,Luxembourg
101,Madagascar
102,Malawi
103,Malaysia
104,Maldives
105,Mali
106,Malta
107,Mauritania
108,Mauritius
109,Mexico
110,Monaco
111,Mongolia
112,Moldova
113,Montenegro
114,Morocco
115,Mozambique
116,Oman
117,Namibia
118,Nauru
119,Nepal
120,Netherlands
121,Vanuatu
122,New Zealand
123,Nicaragua
124,Niger
125,Nigeria
126,Norway
127,Micronesia
128,Marshall Islands
129,Palau
130,Pakistan
131,Panama
132,Papua New Guinea
133,Paraguay
134,Peru
135,Philippines
136,Poland
137,Portugal
138,Guinea-Bissau
139,Timor-Leste
140,Qatar
141,Romania
142,Russian Federation
143,Rwanda
144,Saint Kitts and Nevis
145,Saint Lucia
146,Saint Vincent and the Grenadines
147,San Marino
148,Sao Tome and Principe
149,Saudi Arabia
150,Senegal
151,Serbia
152,Seychelles
153,Sierra Leone
154,Singapore
155,Slovakia
156,Viet Nam
157,Slovenia
158,Somalia
159,South Africa
160,Zimbabwe
161,Spain
162,South Sudan
163,Sudan
164,Suriname
165,Eswatini
166,Sweden
167,Switzerland
168,Syrian Arab Republic
169,Tajikistan
170,Thailand
171,Togo
172,Tonga
173,Trinidad and Tobago
174,United Arab Emirates
175,Tunisia
176,Türkiye
177,Turkmenistan
178,Tuvalu
179,Uganda
180,Ukraine
181,North Macedonia
182,Egypt
183,England
184,Tanzania
185,United States of America
186,Burkina Faso
187,Uruguay
188,Uzbekistan
189,Venezuela
190,Samoa
191,Yemen
192,Zambia
193,Wales
194,Scotland
195,Northern Ireland
